Country,Year,Export_tonnes
Dominican Republic,2008,4920.0
Ecuador,2008,52080.0
El Salvador,2008,86280.0
Ethiopia,2008,171120.0
Ghana,2008,2160.0
Guatemala,2008,226680.0
Guinea,2008,12480.0
Guyana,2008,120.0
Haiti,2008,1020.0
Honduras,2008,195540.0
India,2008,202620.0
Indonesia,2008,344460.0
Jamaica,2008,1260.0
Kenya,2008,36480.0
Lao People's Democratic Republic,2008,15480.0
Liberia,2008,120.0
Madagascar,2008,11760.0
Malawi,2008,1260.0
Mexico,2008,146880.0
Nepal,2008,60.0
Nicaragua,2008,97500.0
Nigeria,2008,120.0
Panama,2008,6840.0
Papua New Guinea,2008,65760.0
Paraguay,2008,60.0
Peru,2008,223980.0
Philippines,2008,240.0
Rwanda,2008,19560.0
Sierra Leone,2008,1560.0
Sri Lanka,2008,120.0
Tanzania,2008,49080.0
Thailand,2008,10500.0
Timor-Leste,2008,3000.0
Togo,2008,7260.0
Trinidad & Tobago,2008,60.0
Uganda,2008,198660.0
Venezuela,2008,7500.0
Viet Nam,2008,966060.0
